,Name,Author,User Rating,Reviews,Price,Year,Genre,Genre_bin,tokens
0,10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction,0,"['10-day', 'green', 'smoothie', 'cleanse']"
1,11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,1,"['11/22/63', 'novel']"
2,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction,0,"['12', 'rules', 'life', 'antidote', 'chaos']"
3,1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction,1,"['1984', 'signet', 'classics']"
4,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,0,"['5,000', 'awesome', 'facts', 'everything', 'national', 'geographic', 'kids']"
5,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction,1,"['dance', 'dragons', 'song', 'ice', 'fire']"
6,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction,1,"['game', 'thrones', 'clash', 'kings', 'storm', 'swords', 'feast', 'crows', 'dance', 'dragons']"
7,A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction,1,"['gentleman', 'moscow', 'novel']"
8,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction,0,"['higher', 'loyalty', 'truth', 'lies', 'leadership']"
9,A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction,1,"['man', 'called', 'ove', 'novel']"
10,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction,0,"['patriot', ""'s"", 'history', 'united', 'states', 'columbus', ""'s"", 'great', 'discovery', 'war', 'terror']"
11,A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,0,"['stolen', 'life', 'memoir']"
12,A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction,1,"['wrinkle', 'time', 'time', 'quintet']"
